"Work Item Type,Title,Priority"
"T16542,Blocked,Medium"
"T16543,Blocked,Medium"
"T16544,Blocked,Medium"
"T16545,Blocked,Medium"
"T16546,Blocked,Medium"
"T16547,Blocked,Medium"
"T18886,Untested,Medium"
"T18887,Untested,Medium"
"T18888,Untested,Medium"
"T18889,Untested,Medium"
"T18890,Untested,Medium"
"T18891,Untested,Medium"
"T18892,Untested,Medium"
"T18893,Untested,Medium"
"T18894,Untested,Medium"
"T18895,Untested,Medium"
"T18896,Untested,Medium"
"T18897,Untested,Medium"
"T18898,Untested,Medium"
"T18899,Untested,Medium"
